date,daily_total_pnl,daily_avg_pnl,daily_pnl_volatility,daily_trade_count,daily_volume,daily_avg_trade_size,daily_avg_leverage,daily_max_leverage,daily_winning_trades,daily_win_rate,daily_avg_abs_pnl,value_first,classification_first,risk_adjusted_pnl,date_dt,sentiment_lag1,sentiment_lag2,sentiment_change,next_day_pnl,next_day_volume
2024-11-01,1040.475736,45.238075478260875,154.1983753462747,23,260981.03,11347.001304347827,76.33253819695389,200.0,6,0.2608695652173913,46.00006417391304,75.0,Extreme Greed,6.704166417196809,2024-11-01,77.0,77.0,-2.0,0.0,40000.0
2024-11-02,0.0,0.0,0.0,2,40000.0,20000.0,200.0,200.0,0,0.0,0.0,72.0,Greed,0.0,2024-11-02,75.0,77.0,-3.0,0.0,129055.66
2024-11-03,0.0,0.0,0.0,6,129055.66,21509.27666666667,160.00862636549158,200.0,0,0.0,0.0,74.0,Greed,0.0,2024-11-03,72.0,75.0,2.0,2799.410474,451811.97
2024-11-04,2799.410474,77.76140205555555,118.94285081013497,36,451811.97,12550.332499999999,141.1909735610079,200.0,23,0.6388888888888888,77.76140205555555,70.0,Greed,23.33953591307715,2024-11-04,74.0,72.0,-4.0,678.4759280000001,200627.23
2024-11-05,678.4759280000001,67.8475928,93.32108146532121,10,200627.23,20062.723,182.28224455611388,200.0,5,0.5,67.8475928,70.0,Greed,7.193258574430717,2024-11-05,70.0,74.0,0.0,2817.83723,123906.9
2024-11-06,2817.83723,187.85581533333334,309.14971367702964,15,123906.9,8260.46,164.86804777870285,200.0,7,0.4666666666666667,188.31064066666667,70.0,Greed,9.085409741613748,2024-11-06,70.0,70.0,0.0,4493.353136,111335.3
2024-11-07,4493.353136,39.764187044247784,107.40420684370638,113,111335.3,985.2681415929204,2.160390707040003,200.0,60,0.5309734513274337,39.764187044247784,77.0,Extreme Greed,41.449988582808125,2024-11-07,70.0,70.0,7.0,-64.41354100000007,270700.44
2024-11-08,-64.41354100000007,-1.6516292564102582,72.4018294193872,39,270700.44,6941.036923076923,123.77035802178622,200.0,6,0.15384615384615385,34.79898335897436,75.0,Extreme Greed,-0.8775468065239651,2024-11-08,77.0,70.0,-2.0,102.90894,193384.41
2024-11-09,102.90894,1.196615581395349,2.90992297730476,86,193384.41,2248.655930232558,19.642231304769012,200.0,19,0.22093023255813954,1.1993636744186047,75.0,Extreme Greed,26.3199404687349,2024-11-09,75.0,77.0,0.0,991.114334,413636.7
2024-11-10,991.114334,5.728984589595376,22.471438317729593,173,413636.7,2390.963583815029,91.07586130065599,200.0,51,0.2947976878612717,5.728984589595376,78.0,Extreme Greed,42.226399617416845,2024-11-10,75.0,75.0,3.0,6749.630996,1570572.42
2024-11-11,6749.630996,18.09552545844504,60.90235280005483,373,1570572.42,4210.649919571046,37.98064038100596,200.0,92,0.24664879356568364,18.11838431635389,76.0,Extreme Greed,109.03674401199855,2024-11-11,78.0,75.0,-2.0,3494.399394,1226354.52
2024-11-12,3494.399394,20.435084175438597,80.90406191682668,171,1226354.52,7171.663859649123,96.85595770858119,200.0,34,0.19883040935672514,20.556422771929824,80.0,Extreme Greed,42.66454327440502,2024-11-12,76.0,78.0,4.0,7846.402274,515336.37
